kind,date,mode_price
だいこん,20220502,979.1882
だいこん,20220506,978.9123
だいこん,20220507,979.4733
だいこん,20220509,980.09735
だいこん,20220510,980.09735
だいこん,20220512,981.945
だいこん,20220513,981.945
だいこん,20220514,981.945
だいこん,20220516,981.945
だいこん,20220517,981.945
だいこん,20220519,981.945
だいこん,20220520,981.945
だいこん,20220521,981.945
だいこん,20220523,982.1794
だいこん,20220524,982.5633
だいこん,20220526,980.966
だいこん,20220527,982.8254
だいこん,20220528,982.42267
だいこん,20220530,979.8483
だいこん,20220531,978.3737
にんじん,20220502,1408.6279
にんじん,20220506,1408.8955
にんじん,20220507,1412.3707
にんじん,20220509,1406.7592
にんじん,20220510,1401.8597
にんじん,20220512,1400.643
にんじん,20220513,1403.0449
にんじん,20220514,1402.0013
にんじん,20220516,1401.5995
にんじん,20220517,1402.3783
にんじん,20220519,1401.2504
にんじん,20220520,1402.3903
にんじん,20220521,1403.1547
にんじん,20220523,1401.1166
にんじん,20220524,1400.7435
にんじん,20220526,1410.9594
にんじん,20220527,1406.2968
にんじん,20220528,1404.7252
にんじん,20220530,1413.1652
にんじん,20220531,1409.062
キャベツ,20220502,940.5197
キャベツ,20220506,921.5871
キャベツ,20220507,921.5871
キャベツ,20220509,921.41473
キャベツ,20220510,921.41473
キャベツ,20220512,924.6084
キャベツ,20220513,923.6247
キャベツ,20220514,925.48566
キャベツ,20220516,925.98065
キャベツ,20220517,920.42596
キャベツ,20220519,920.42596
キャベツ,20220520,920.42596
キャベツ,20220521,919.98224
キャベツ,20220523,922.26825
キャベツ,20220524,905.2376
キャベツ,20220526,914.46747
キャベツ,20220527,902.0081
キャベツ,20220528,901.91486
キャベツ,20220530,904.22003
キャベツ,20220531,900.6196
レタス,20220502,1744.1396
レタス,20220506,1744.8716
レタス,20220507,1733.7936
レタス,20220509,1715.8795
レタス,20220510,1715.8795
レタス,20220512,1714.4056
レタス,20220513,1707.2662
レタス,20220514,1707.2662
レタス,20220516,1696.0074
レタス,20220517,1696.0074
レタス,20220519,1696.5739
レタス,20220520,1697.2631
レタス,20220521,1697.2631
レタス,20220523,1696.6602
レタス,20220524,1695.7574
レタス,20220526,1686.4482
レタス,20220527,1718.7123
レタス,20220528,1710.7592
レタス,20220530,1685.8431
レタス,20220531,1700.6608
はくさい,20220502,1187.0049
はくさい,20220506,1183.8529
はくさい,20220507,1183.8529
はくさい,20220509,1184.7166
はくさい,20220510,1184.7166
はくさい,20220512,1183.4402
はくさい,20220513,1183.4402
はくさい,20220514,1184.6981
はくさい,20220516,1186.986
はくさい,20220517,1188.167
はくさい,20220519,1186.3976
はくさい,20220520,1186.3976
はくさい,20220521,1186.3976
はくさい,20220523,1189.5098
はくさい,20220524,1187.3811
はくさい,20220526,1179.3232
はくさい,20220527,1177.3412
はくさい,20220528,1174.9695
はくさい,20220530,1169.0455
はくさい,20220531,1163.6389
こまつな,20220502,122.632164
こまつな,20220506,121.36997
こまつな,20220507,121.37119
こまつな,20220509,120.74644
こまつな,20220510,121.07411
こまつな,20220512,121.121925
こまつな,20220513,121.76243
こまつな,20220514,121.76243
こまつな,20220516,121.62571
こまつな,20220517,121.614685
こまつな,20220519,120.88887
こまつな,20220520,120.948685
こまつな,20220521,120.948685
こまつな,20220523,120.948685
こまつな,20220524,120.948685
こまつな,20220526,121.201614
こまつな,20220527,121.33765
こまつな,20220528,121.33765
こまつな,20220530,121.05333
こまつな,20220531,121.080185
ほうれんそう,20220502,106.77094
ほうれんそう,20220506,102.117226
ほうれんそう,20220507,102.117226
ほうれんそう,20220509,101.93513
ほうれんそう,20220510,101.93513
ほうれんそう,20220512,102.311646
ほうれんそう,20220513,102.311646
ほうれんそう,20220514,102.311646
ほうれんそう,20220516,102.37555
ほうれんそう,20220517,102.541115
ほうれんそう,20220519,102.911644
ほうれんそう,20220520,102.56277
ほうれんそう,20220521,102.56277
ほうれんそう,20220523,102.50357
ほうれんそう,20220524,102.50357
ほうれんそう,20220526,102.74845
ほうれんそう,20220527,103.01813
ほうれんそう,20220528,102.89584
ほうれんそう,20220530,105.71517
ほうれんそう,20220531,105.77364
ねぎ,20220502,1713.6925
ねぎ,20220506,1728.3358
ねぎ,20220507,1712.3837
ねぎ,20220509,1711.9867
ねぎ,20220510,1700.814
ねぎ,20220512,1698.2495
ねぎ,20220513,1693.5465
ねぎ,20220514,1692.2148
ねぎ,20220516,1676.2969
ねぎ,20220517,1672.1299
ねぎ,20220519,1671.354
ねぎ,20220520,1663.3711
ねぎ,20220521,1663.9121
ねぎ,20220523,1669.0942
ねぎ,20220524,1671.146
ねぎ,20220526,1683.8558
ねぎ,20220527,1684.8912
ねぎ,20220528,1687.7885
ねぎ,20220530,1687.7855
ねぎ,20220531,1678.226
きゅうり,20220502,1586.7435
きゅうり,20220506,1576.9961
きゅうり,20220507,1573.0273
きゅうり,20220509,1553.934
きゅうり,20220510,1553.934
きゅうり,20220512,1554.3271
きゅうり,20220513,1553.398
きゅうり,20220514,1555.9396
きゅうり,20220516,1554.8726
きゅうり,20220517,1554.8726
きゅうり,20220519,1554.3446
きゅうり,20220520,1554.8441
きゅうり,20220521,1554.5665
きゅうり,20220523,1553.25
きゅうり,20220524,1553.2627
きゅうり,20220526,1556.1494
きゅうり,20220527,1556.7223
きゅうり,20220528,1555.4287
きゅうり,20220530,1549.3906
きゅうり,20220531,1549.4703
トマト,20220502,1316.0251
トマト,20220506,1305.8685
トマト,20220507,1305.8685
トマト,20220509,1300.5146
トマト,20220510,1300.5146
トマト,20220512,1295.5079
トマト,20220513,1294.8807
トマト,20220514,1294.7021
トマト,20220516,1294.0273
トマト,20220517,1294.0273
トマト,20220519,1294.0273
トマト,20220520,1294.0273
トマト,20220521,1294.0273
トマト,20220523,1296.2806
トマト,20220524,1296.5371
トマト,20220526,1297.2778
トマト,20220527,1295.3285
トマト,20220528,1295.3285
トマト,20220530,1295.3285
トマト,20220531,1294.4957
ピーマン,20220502,76.18302
ピーマン,20220506,76.33362
ピーマン,20220507,76.19681
ピーマン,20220509,74.98245
ピーマン,20220510,74.86545
ピーマン,20220512,74.66742
ピーマン,20220513,74.42253
ピーマン,20220514,74.57036
ピーマン,20220516,74.4276
ピーマン,20220517,73.66773
ピーマン,20220519,73.66773
ピーマン,20220520,73.66773
ピーマン,20220521,73.58847
ピーマン,20220523,73.46536
ピーマン,20220524,73.224594
ピーマン,20220526,73.17154
ピーマン,20220527,72.995026
ピーマン,20220528,73.03852
ピーマン,20220530,72.9066
ピーマン,20220531,72.974785
じゃがいも,20220502,2521.5933
じゃがいも,20220506,2532.8074
じゃがいも,20220507,2533.3113
じゃがいも,20220509,2533.4446
じゃがいも,20220510,2531.4114
じゃがいも,20220512,2529.1567
じゃがいも,20220513,2532.662
じゃがいも,20220514,2533.4019
じゃがいも,20220516,2533.4019
じゃがいも,20220517,2533.3354
じゃがいも,20220519,2532.3687
じゃがいも,20220520,2531.971
じゃがいも,20220521,2541.7551
じゃがいも,20220523,2545.5188
じゃがいも,20220524,2547.4702
じゃがいも,20220526,2542.9717
じゃがいも,20220527,2537.2039
じゃがいも,20220528,2539.5078
じゃがいも,20220530,2466.6978
じゃがいも,20220531,2468.2583
なましいたけ,20220502,124.09216
なましいたけ,20220506,123.77328
なましいたけ,20220507,123.706955
なましいたけ,20220509,123.62341
なましいたけ,20220510,123.523926
なましいたけ,20220512,123.51039
なましいたけ,20220513,123.51039
なましいたけ,20220514,123.51039
なましいたけ,20220516,123.51039
なましいたけ,20220517,123.511925
なましいたけ,20220519,123.58152
なましいたけ,20220520,123.74559
なましいたけ,20220521,123.7177
なましいたけ,20220523,123.808754
なましいたけ,20220524,123.808754
なましいたけ,20220526,123.79199
なましいたけ,20220527,123.79199
なましいたけ,20220528,123.736595
なましいたけ,20220530,123.639565
なましいたけ,20220531,123.619995
セルリー,20220502,2724.0784
セルリー,20220506,2742.0833
セルリー,20220507,2749.541
セルリー,20220509,2760.549
セルリー,20220510,2760.549
セルリー,20220512,2759.674
セルリー,20220513,2759.674
セルリー,20220514,2751.339
セルリー,20220516,2709.9988
セルリー,20220517,2701.016
セルリー,20220519,2681.3423
セルリー,20220520,2630.6702
セルリー,20220521,2630.6702
セルリー,20220523,2634.818
セルリー,20220524,2629.4214
セルリー,20220526,2635.4448
セルリー,20220527,2635.0105
セルリー,20220528,2629.9448
セルリー,20220530,2649.5579
セルリー,20220531,2656.3562
そらまめ,20220502,2394.714
そらまめ,20220506,2395.9563
そらまめ,20220507,2384.5251
そらまめ,20220509,2384.4954
そらまめ,20220510,2356.799
そらまめ,20220512,2331.7268
そらまめ,20220513,2331.5273
そらまめ,20220514,2333.547
そらまめ,20220516,2126.1836
そらまめ,20220517,2103.4753
そらまめ,20220519,2117.8267
そらまめ,20220520,2087.9775
そらまめ,20220521,2077.7585
そらまめ,20220523,2092.6
そらまめ,20220524,2094.8074
そらまめ,20220526,2112.3225
そらまめ,20220527,2114.8218
そらまめ,20220528,2115.2441
そらまめ,20220530,2196.7498
そらまめ,20220531,2190.1077
ミニトマト,20220502,132.25867
ミニトマト,20220506,132.37433
ミニトマト,20220507,132.3494
ミニトマト,20220509,132.52821
ミニトマト,20220510,132.67465
ミニトマト,20220512,134.34631
ミニトマト,20220513,132.14317
ミニトマト,20220514,132.20976
ミニトマト,20220516,130.88792
ミニトマト,20220517,130.75888
ミニトマト,20220519,130.79141
ミニトマト,20220520,130.79141
ミニトマト,20220521,130.81067
ミニトマト,20220523,130.8224
ミニトマト,20220524,130.8224
ミニトマト,20220526,130.90833
ミニトマト,20220527,130.89044
ミニトマト,20220528,130.99615
ミニトマト,20220530,131.3943
ミニトマト,20220531,131.82292
